slug,weight,price
shabudana-pith,200g,50
bhagar-pith-200,200g,45
bhagar-pith-500,500g,85
rajgira-pith-200,200g,50
rajgira-pith-500,500g,105
upvas-bhajani-200,200g,54
upvas-bhajani-500,500g,110
thalipeeth-bhajani,200g,45
tandul-pithi,200g,52
bajri-pith,500g,45
jwari-pith,500g,55
dal-batti-ata,1kg,120
anarse-pith,1kg,200
chakali-bhajani-pith,1kg,240
multigrain-atta,1kg,90
multigrain-atta,5kg,400
nachni-pith,500g,50
makai-pith,500g,45
singhara-pith,200g,60
besan,500g,60
besan,1kg,110
shengdana-chatni,100g,30
shengdana-upvas-chatni,100g,30
til-chatni,100g,35
javas-chatni,100g,35
karal-chatni,100g,35
mukhwas-sauf-til-dhanadal,100g,40
mukhwas-sauf-til,100g,40
mukhwas-sauf-til-ova,100g,40
meetha-mukhwas,100g,40
mukhwas-javas,100g,40
balu-shahi,500g,70
besan-ladoo,500g,250
besan-ladoo,1kg,480
karanji,500g,220
shankarpale,500g,170
rava-ladoo,500g,200
rava-ladoo,1kg,380
shengdana-chikki,250g,80
shengdana-chikki,500g,150
tilgul,250g,80
bhadang,200g,60
paani-puri,240g / 100 pcs,45
paani-puri,120g / 50 pcs,25
chivda,200g,60
chivda,500g,130
masala-shengdana,200g,50
shev,200g,45
papdi,200g,40
kala-masala,100g,60
chaat-masala,100g,35
chakali,200g,80
chakali,500g,180
potato-chips,100g,40
potato-chips,200g,70
banana-chips,100g,35
banana-chips,200g,65
pud-chatni,100g,35
supari,100g,50